24,5,8,5,400
32,2,9,7,500
40,12,6,10,800
45,10,4,15,1000
48,11,7,20,1000
50,9,5,25,1500
52,7,3,25,1000
55,1,2,35,1200
60,3,1,35,800
70,4,1,38,400
75,5,1,40,500
77,8,5,50,1000
78,8,6,55,100
80,10,5,60,5000
88,9,4,68,1200
90,8,2,75,1200
100,7,1,80,1500
125,12,1,90,1500
175,12,1,100,2000
24,12,9,5,1789
32,11,5,7,989
40,7,3,10,956
45,10,7,15,1200
48,7,7,20,900
50,6,4,25,789
52,8,9,25,878
55,4,5,35,356
60,5,3,35,496
70,6,1,38,678
75,12,8,40,1056
77,10,6,50,1089
78,4,6,55,423
80,1,4,60,800
88,1,4,68,700
90,12,1,75,1896
100,5,2,80,250
125,3,2,90,126
175,4,2,100,356
200,8,1,150,890
24,10,2,5,910
32,1,1,7,986
40,10,8,10,1000
45,9,2,15,1080
48,3,7,20,496
50,9,7,25,989
52,9,8,25,958
55,7,9,35,699
60,2,2,35,396
70,6,9,38,563
75,9,4,40,756
77,5,6,50,596
78,6,4,55,396
80,3,9,60,897
88,2,7,68,705
90,10,3,75,876
100,7,5,80,685
125,12,3,90,989
175,12,4,100,932
200,6,3,150,573
24,4,1,5,376
32,1,3,7,986
40,3,1,10,1566
45,9,5,15,989
48,5,5,20,499
50,6,8,25,489
52,8,8,25,793
55,1,3,35,398
60,5,1,35,456
70,12,9,38,879
75,7,5,40,697
77,11,2,50,986
78,4,6,55,396
80,8,3,60,782
88,3,7,68,412
90,8,8,75,896
100,12,2,80,1000
125,7,6,90,400
175,7,2,100,400
200,4,9,150,500
24,3,3,5,491
32,4,3,7,451
40,7,3,10,697
45,10,5,15,850
48,12,4,20,740
50,4,5,25,356
52,9,4,25,400
55,7,9,35,800
60,3,8,35,750
70,9,7,38,896
75,6,7,40,569
77,9,2,50,813
78,8,5,55,791
80,10,9,60,1050
88,10,4,68,1200
90,9,8,75,950
100,5,1,80,500
125,2,8,90,1000
175,7,5,100,1000
200,2,8,150,1800
250,12,12,200,2000
