7,2,4,8,0,0
21,2,6,6,3,0
57,2,4,4,6,0
101,3,6,12,2,0
109,2,6,12,7,0
125,5,10,20,1,0
133,2,2,4,1,0
162,2,6,12,2,0
170,2,4,8,6,0
217,2,6,6,7,0
266,2,6,12,1,0
335,4,12,24,6,0
553,4,12,24,9,0
798,5,15,15,12,0
872,2,6,6,5,0
1105,2,4,8,3,0
2091,5,5,5,2,0
21,2,4,12,4,1
33,2,8,48,6,1
49,2,8,32,7,1
74,2,6,18,9,1
93,2,12,96,7,1
145,2,10,30,3,1
152,2,4,20,8,1
208,2,10,30,9,1
219,3,9,54,3,1
235,6,12,96,12,1
257,2,12,48,9,1
266,2,4,12,14,1
275,4,24,144,6,1
355,2,4,16,8,1
473,3,6,30,9,1
485,2,6,30,10,1
652,2,6,24,12,1
848,3,18,54,9,1
2,2,2,2,4,0
9,1,1,1,9,0
739,5,15,15,7,0
898,2,2,2,3,0
1401,6,6,6,1,0
11,2,10,40,2,1
31,2,6,30,4,1
51,2,4,20,5,1
89,3,18,144,6,1
112,2,6,18,8,1
278,2,4,28,9,1
674,3,18,72,21,1
1088,2,8,64,17,1
1294,2,6,18,12,1
1,2,18,36,15,0
2,2,20,120,23,0
7,1,7,28,9,0
10,2,18,54,11,0
12,2,20,40,14,0
14,2,12,36,8,0
20,3,21,63,5,0
23,2,6,24,6,0
50,2,18,54,12,0
54,1,5,15,5,0
68,9,63,378,26,0
85,2,2,6,0,0
86,3,27,162,25,0
87,3,9,36,4,0
105,2,2,6,1,0
116,2,16,64,6,0
117,5,40,240,28,0
146,2,14,28,4,0
195,2,2,12,0,0
230,2,12,60,9,0
293,4,8,24,9,0
304,2,18,54,8,0
319,1,7,28,11,0
530,3,12,24,10,0
584,2,10,30,8,0
608,3,30,60,15,0
643,4,28,168,30,0
649,2,2,12,0,0
783,4,20,80,2,0
1169,4,12,24,2,0
1284,4,16,48,4,0
1425,4,28,56,5,0
1478,6,30,90,7,0
1590,4,32,160,22,0
2041,6,24,72,4,0
2695,9,18,36,5,0
3085,7,56,112,13,0
15,2,2,4,0,0
29,2,2,12,0,0
30,2,6,18,2,0
1064,5,25,100,6,0
15,2,20,60,9,0
29,2,16,64,9,0
30,2,2,12,2,0
1064,5,20,80,20,0
11,1,6,24,4,0
12,1,3,6,0,1
13,1,2,16,9,1
11,1,2,4,3,1
12,1,6,48,2,1
13,1,4,12,4,1
12,1,6,24,6,1
12,1,5,35,6,1
