20,4,1,10,115
21,4,1,10,103
22,4.2,1,20,117
24,4.5,1,20,123
25,4.9,2,20,121
26,5,2,20,129
28,5.1,2,30,131
30,5,2,30,128
32,5.5,2,50,151
38,6,3,40,143
40,6.5,4,40,155
45,6.8,3,50,156
47,6.9,4,40,149
48,6.9,5,60,159
50,7,4,70,159
54,7.9,5,60,154
55,7.5,6,50,161
58,9.5,7,60,161
60,9,8,70,173
62,10,8,60,159
64,12,7,70,165
66,12,5,60,172
68,13,5,60,169
70,15,6,70,175
73,15,6,60,172
75,16,7,70,176
77,17,8,80,163
78,17,8,90,161
78,16.4,6,70,179
80,17,7,80,178
80,17.2,8,90,182
82,17.9,6,80,179
84,19.1,7,80,171
86,18,9,80,188
88,19.2,7,70,173
90,18.4,8,90,188
92,19.9,9,80,188
94,21,8,70,172
95,19,6,90,191
96,19.9,8,90,192
98,22,9,80,189
100,20,10,90,191
105,23,12,100,199
110,21,7,60,175
110,24,8,70,179
120,21.2,9,80,186
125,22,9,80,181
130,21.8,9,90,193
130,24,10,80,193
140,21.9,10,100,199
145,22,8,80,187
160,22.4,9,100,201
160,22.7,10,90,200
161,22.9,9,90,203
162,24,10,80,190
164,25,8,70,197
164,25,11,80,189
166,26.8,10,100,201
166,26.1,10,90,205
168,29,11,100,201
168,30.9,12,100,210
169,30.8,9,80,202
170,32.2,12,100,204
170,35.2,11,90,210
172,34.1,12,100,199
174,35.4,10,80,198
176,36.8,11,70,200
176,35.4,9,90,199
178,36,10,100,190
178,35,10,80,180
179,38,11,90,203
180,40,11,90,210
180,45,12,100,208
180,48,10,80,199
182,49.7,12,90,210
184,50.7,12,90,212
186,55,10,100,218
186,56.7,11,90,218
188,58.9,12,100,220
188,59.9,12,90,215
190,60.7,12,100,216
